Files already downloaded
[1020.3992191553116, 999.189646653831, 961.7332331985235, 1025.2113084197044, 821.9907518029213, 981.7364190965891, 920.5495977774262, 955.4606430232525]
4 Epoch [1/200], Discriminator 0.3893, Best Generator[4] 1.4462
[2064.63072180748, 2061.626054048538, 2048.554582595825, 2085.014837026596, 2086.9153139591217, 2067.507464647293, 2074.954750061035, 2077.2892773151398]
2 Epoch [2/200], Discriminator 0.0748, Best Generator[2] 3.4787
[1873.0299433469772, 1852.088457942009, 1860.8701968193054, 1844.744099497795, 1849.0871601104736, 1859.0092461109161, 1858.36294567585, 1867.4895733594894]
3 Epoch [3/200], Discriminator 0.1935, Best Generator[3] 2.9314
[1596.6133027076721, 1597.0563341379166, 1590.5314775705338, 1597.685355424881, 1591.0721434354782, 1590.557077050209, 1595.185495018959, 1600.9911143779755]
2 Epoch [4/200], Discriminator 0.5546, Best Generator[2] 2.0380
[1406.6809891462326, 1411.423258781433, 1407.8165868520737, 1406.4967278242111, 1410.2053184509277, 1402.2004418373108, 1408.018831372261, 1405.191477060318]
5 Epoch [5/200], Discriminator 0.8603, Best Generator[5] 1.4136
[1525.413337469101, 1524.7776818275452, 1517.5959241390228, 1510.2065706253052, 1524.2365559339523, 1526.8768622875214, 1523.8565709590912, 1525.0751903057098]
3 Epoch [6/200], Discriminator 0.2743, Best Generator[3] 2.5702
[1150.8381197452545, 1085.3071744143963, 1253.7956364750862, 1298.8388184905052, 1090.9111966788769, 1246.7504034042358, 1250.3240398168564, 1258.4110396504402]
1 Epoch [7/200], Discriminator 0.4348, Best Generator[1] 0.6617
[1206.2805401086807, 1636.335301399231, 1253.602810382843, 1208.3329012393951, 1473.559629559517, 1192.7351363301277, 1212.5422376990318, 1201.1896336078644]
5 Epoch [8/200], Discriminator 0.2271, Best Generator[5] 0.5086
[1260.8544616103172, 1389.6990358829498, 1267.9597023427486, 1254.2326177358627, 1244.168190509081, 1580.9229991436005, 1266.1459119915962, 1248.082061380148]
4 Epoch [9/200], Discriminator 0.3244, Best Generator[4] 0.3625
[1215.3360694348812, 1208.7850182652473, 1275.6930948495865, 1225.1907075047493, 1518.4488456845284, 1227.0433148145676, 1367.174742937088, 1317.326283633709]
1 Epoch [10/200], Discriminator 0.3346, Best Generator[1] 1.0461
[1430.5333535671234, 1797.4611287117004, 1413.664543390274, 1392.4506905972958, 1367.410757124424, 1489.2197074890137, 1382.0968169271946, 1410.161494165659]
4 Epoch [11/200], Discriminator 0.8672, Best Generator[4] 3.1103
[1577.363129079342, 1422.432414919138, 1763.5016618967056, 1416.8293971717358, 1879.7191783189774, 1470.0600462555885, 1848.8506424427032, 1841.6657239198685]
3 Epoch [12/200], Discriminator 0.3620, Best Generator[3] 0.7321
[2098.516501188278, 2154.9268494844437, 2107.94233250618, 2271.571986436844, 2142.73174905777, 2103.5328599214554, 2114.416920900345, 2258.4068279266357]
0 Epoch [13/200], Discriminator 0.3459, Best Generator[0] 2.4242
[2065.7274696826935, 1596.680387377739, 1559.8207215368748, 1668.899060368538, 1662.7333065271378, 1640.6869627535343, 1659.2866171002388, 2007.710629940033]
2 Epoch [14/200], Discriminator 0.3014, Best Generator[2] 1.4401
[1529.1467332318425, 1842.6735745072365, 2004.1424751281738, 1633.6252536922693, 1462.0838874727488, 1766.3815336227417, 1470.0901627242565, 1681.8740519583225]
4 Epoch [15/200], Discriminator 0.4917, Best Generator[4] 0.2119
[1700.6551865935326, 1421.2867004871368, 1441.1242073476315, 1439.8126182854176, 1787.3047434687614, 1419.3459687530994, 1401.2500836849213, 1420.170618891716]
6 Epoch [16/200], Discriminator 0.3231, Best Generator[6] 0.6009
[1972.7499700784683, 1908.5585038661957, 1890.2073572278023, 1884.4784242510796, 1895.2260702848434, 1924.1987122297287, 2150.255991101265, 1902.5814436674118]
3 Epoch [17/200], Discriminator 0.3023, Best Generator[3] 0.9283
[1519.9452788606286, 1769.6727682948112, 1992.6390390396118, 2175.3538539409637, 1528.712306149304, 1383.4240924306214, 1574.2175697088242, 1741.1231342852116]
5 Epoch [18/200], Discriminator 0.2326, Best Generator[5] 0.4038
[2155.0834773778915, 1857.7894104123116, 1860.8366049528122, 1952.9913710355759, 2158.194550395012, 2557.5638911128044, 2078.238019824028, 2004.0217831134796]
1 Epoch [19/200], Discriminator 0.1375, Best Generator[1] 1.3806
[2482.8858308792114, 3230.999418735504, 2521.3380837738514, 3110.9237463474274, 3034.03426861763, 2544.901168346405, 2744.4494675397873, 2484.393392652273]
0 Epoch [20/200], Discriminator 0.1179, Best Generator[0] 0.7392
[2928.948837995529, 2467.7034546732903, 2066.7295646071434, 2371.0276956558228, 2270.6199948489666, 2355.1138459146023, 2287.052401840687, 2263.4119504094124]
2 Epoch [21/200], Discriminator 0.0895, Best Generator[2] 0.2017
[1808.980897729285, 1761.8335200306028, 2891.086474776268, 1607.101326236967, 1348.3280206486525, 1861.9790884498507, 2223.265318632126, 1835.5335161341354]
4 Epoch [22/200], Discriminator 0.2313, Best Generator[4] 0.0004
[2096.795286566019, 2291.2347133010626, 1970.2825954705477, 2247.4192027822137, 2626.434150978923, 2200.305813461542, 2244.405223213136, 2289.7801328524947]
2 Epoch [23/200], Discriminator 0.1597, Best Generator[2] 0.2360
[1819.9413800239563, 1856.2048989534378, 2479.9239242076874, 1708.8954320847988, 1887.8906567692757, 1813.9670182168484, 1791.3658741116524, 1852.4019223451614]
3 Epoch [24/200], Discriminator 0.2642, Best Generator[3] 0.2634
[2228.085876762867, 2041.6428200304508, 1977.6171855330467, 2515.1779911518097, 1613.9158842340112, 2019.5542472600937, 1949.4429134130478, 2086.594974219799]
4 Epoch [25/200], Discriminator 0.1137, Best Generator[4] 0.0496
[2626.664619088173, 3083.9623934030533, 2414.969476222992, 3099.624845981598, 3331.098382472992, 2464.7570890188217, 2590.6805631518364, 2769.3267347812653]
2 Epoch [26/200], Discriminator 0.2213, Best Generator[2] 0.7993
[2551.25743830204, 2389.0657459795475, 2973.105421066284, 2614.453309714794, 2252.5080616921186, 2622.712076485157, 2576.7664664685726, 2573.107174575329]
4 Epoch [27/200], Discriminator 0.1077, Best Generator[4] 0.4308
[2560.5938335210085, 2352.1653427779675, 2382.3176272809505, 2327.007560789585, 3041.682304263115, 3054.606415629387, 2995.840248823166, 2353.743531435728]
3 Epoch [28/200], Discriminator 0.2743, Best Generator[3] 0.7629
[2821.8978992700577, 2110.660615488887, 2654.47503721714, 3094.3660547733307, 2726.5936475396156, 2571.0978093743324, 2546.1624135673046, 2110.627950385213]
7 Epoch [29/200], Discriminator 0.1689, Best Generator[7] 0.4424
[2466.6290692687035, 2606.187755435705, 2840.0568369627, 2378.761379044503, 2848.634588778019, 2681.5994700193405, 2838.2383939027786, 3090.6172218322754]
3 Epoch [30/200], Discriminator 0.2625, Best Generator[3] 0.1449
[2678.2236245274544, 2539.1642576009035, 2644.0820285379887, 3127.740075111389, 2721.2649602890015, 2690.1572308540344, 2590.8554482087493, 2649.948357269168]
1 Epoch [31/200], Discriminator 0.2197, Best Generator[1] 0.2208
[2194.7138221412897, 2857.9210209846497, 2066.3306798003614, 2191.1668180525303, 2331.837301582098, 2101.159272529185, 2204.167239315808, 2514.2351019382477]
2 Epoch [32/200], Discriminator 0.2369, Best Generator[2] 0.7267
[2695.7194499373436, 2596.6800397634506, 2861.360083281994, 2571.3898923397064, 2424.068509399891, 2400.789057791233, 2546.013035953045, 2589.8248956799507]
5 Epoch [33/200], Discriminator 0.3342, Best Generator[5] 1.0643
[2773.5368208885193, 2409.5943863987923, 2362.71431940794, 2320.3142129182816, 2397.033894151449, 3152.912172317505, 2739.9724836349487, 3045.239451646805]
3 Epoch [34/200], Discriminator 0.1249, Best Generator[3] 0.2864
[2206.3554274067283, 2630.618291437626, 2645.957538187504, 3164.0118219852448, 2674.4808532595634, 2486.490675121546, 2520.362052798271, 2432.469795741141]
0 Epoch [35/200], Discriminator 0.1953, Best Generator[0] 0.9292
[3560.0468170642853, 3452.0659375190735, 3483.684078812599, 3174.887864947319, 3272.577039837837, 3093.4024100899696, 3353.6338436603546, 3309.2053328752518]
5 Epoch [36/200], Discriminator 0.0321, Best Generator[5] 1.5309
[3202.867773294449, 2958.7579287290573, 2775.4715106487274, 3019.522022008896, 3039.210621714592, 3205.122924566269, 3007.0491905212402, 2823.615815758705]
2 Epoch [37/200], Discriminator 0.0755, Best Generator[2] 0.3701
[2509.0789511799812, 2618.1326446533203, 3101.726215362549, 2586.0267063379288, 2558.8628997802734, 2772.3290722370148, 2830.124331653118, 2488.2306899279356]
7 Epoch [38/200], Discriminator 0.1401, Best Generator[7] 0.2581
[3156.1110672801733, 3115.996264219284, 2665.505983008072, 2628.666553677991, 2738.7623483929783, 2671.955867133569, 2791.269224576652, 3540.453605890274]
3 Epoch [39/200], Discriminator 0.2039, Best Generator[3] 0.0185
[2939.930745303631, 2829.309603333473, 2932.4865772128105, 3228.1424190998077, 2833.009974658489, 3033.1147651672363, 2963.6206183433533, 2995.755568087101]
1 Epoch [40/200], Discriminator 0.1581, Best Generator[1] 0.9191
[2744.298706114292, 3268.993163585663, 2852.87258335948, 2728.4889394044876, 2796.0983298420906, 2540.3602297604084, 2639.4961164295673, 2788.3063963651657]
5 Epoch [41/200], Discriminator 0.1395, Best Generator[5] 0.4744
[2670.7751213908195, 2852.467770576477, 2764.529829263687, 2670.9171041846275, 2909.76041328907, 3171.6121307611465, 2745.067924976349, 2982.6917576789856]
0 Epoch [42/200], Discriminator 0.1543, Best Generator[0] 1.0816
[3257.7213718891144, 3230.040359735489, 3155.3096561431885, 3350.9647138118744, 3177.953659057617, 3116.0485620498657, 3124.8011779785156, 3223.0220608711243]
5 Epoch [43/200], Discriminator 0.2380, Best Generator[5] 4.3645
[2472.81880068779, 2465.570391178131, 2389.536268591881, 2490.912455201149, 2498.0747997760773, 2780.5179743766785, 2503.0746154785156, 2396.4506208896637]
2 Epoch [44/200], Discriminator 0.2222, Best Generator[2] 1.4375
[2731.8035246133804, 2670.7554955780506, 3006.1534230709076, 2911.4966242313385, 2550.6524622142315, 2548.7955041378736, 2611.081991702318, 2740.5087891817093]
5 Epoch [45/200], Discriminator 0.2974, Best Generator[5] 0.3118
[2144.7504347264767, 2055.1804128065705, 2399.287265777588, 2356.914025425911, 2069.9575521349907, 2620.572732567787, 2219.1237154901028, 2087.0826563686132]
1 Epoch [46/200], Discriminator 0.2197, Best Generator[1] 0.1032
[1966.5283230245113, 2836.299918651581, 2179.6341815441847, 2013.390199571848, 2502.5479061603546, 2145.9926451072097, 1877.6498098634183, 2296.702499091625]
6 Epoch [47/200], Discriminator 0.4955, Best Generator[6] 0.0731
[2678.828965306282, 2812.201604485512, 2834.9829370975494, 2577.4625155329704, 2703.962353825569, 2766.5644361376762, 2839.1273646354675, 2721.6341841220856]
3 Epoch [48/200], Discriminator 0.3475, Best Generator[3] 1.8109
[2086.4748493433, 1965.8676390945911, 1998.5833042263985, 2510.3268570899963, 2160.4635558128357, 2002.9349628090858, 1986.144318252802, 2023.811580836773]
1 Epoch [49/200], Discriminator 0.3244, Best Generator[1] 0.3818
[2427.5842786431313, 2705.7961909770966, 2296.711290180683, 2199.1860739588737, 2319.425877481699, 2325.849868655205, 2270.261358946562, 2372.04006421566]
3 Epoch [50/200], Discriminator 0.3846, Best Generator[3] 0.9435
[2441.493036419153, 2765.2417669296265, 2660.479246020317, 2831.27041888237, 2541.936270982027, 2580.791598677635, 2394.0640673339367, 2520.4250882864]
6 Epoch [51/200], Discriminator 0.3109, Best Generator[6] 0.4761
[2516.198416531086, 2371.0265572071075, 2290.7995875775814, 2080.5206532478333, 2341.400757789612, 2213.616832435131, 2816.414541244507, 1971.9822835028172]
7 Epoch [52/200], Discriminator 0.2545, Best Generator[7] 0.9728
[2844.8848304748535, 2579.9578035622835, 2988.4722179174423, 2601.281978264451, 2643.832880795002, 2731.50391086936, 2741.0796912908554, 3155.0236506462097]
1 Epoch [53/200], Discriminator 0.3141, Best Generator[1] 0.2877
[2191.580753490329, 2785.7603874206543, 2163.1538777947426, 2063.0259733498096, 2549.7598118185997, 2311.3694035708904, 2206.7114211022854, 2168.3425326794386]
3 Epoch [54/200], Discriminator 0.3211, Best Generator[3] 0.3151
[2277.438248336315, 2449.1936050653458, 2467.5983340740204, 2658.7336342334747, 2497.7265598773956, 2456.974347472191, 2130.140737891197, 2420.5493389368057]
6 Epoch [55/200], Discriminator 0.2692, Best Generator[6] 0.6363
[2359.091444194317, 2452.847292035818, 2668.7822217941284, 2395.213128387928, 2413.2444152235985, 2531.3081914782524, 2866.1956884860992, 2323.1028975844383]
7 Epoch [56/200], Discriminator 0.2588, Best Generator[7] 0.3881
[2406.55697453022, 2287.9010894298553, 2288.147289633751, 2246.0308296382427, 2266.3179257512093, 2335.868110001087, 2341.210866689682, 2639.8177495002747]
3 Epoch [57/200], Discriminator 0.2734, Best Generator[3] 0.3284
[1966.0631840527058, 1806.369290202856, 2142.0445436537266, 2687.072501897812, 2430.7249015569687, 1925.2908923178911, 2042.7729183286428, 1760.8623607000336]
7 Epoch [58/200], Discriminator 0.3449, Best Generator[7] 0.0286
[2488.5050414800644, 2259.603233933449, 2469.398755669594, 2302.428134381771, 2473.0255407094955, 2356.9174939990044, 2188.820066779852, 2703.1987245082855]
6 Epoch [59/200], Discriminator 0.1868, Best Generator[6] 0.5956
[2326.226856857538, 2318.170572221279, 2316.9100055098534, 2307.5875279307365, 2314.139879822731, 2415.6317666769028, 2563.9478631019592, 2413.238862991333]
3 Epoch [60/200], Discriminator 0.3131, Best Generator[3] 0.6905
